date,name,value,category
2021-02-28,Microsoft,1671.77663568,Hyperscaler
2021-02-28,Amazon,1660.1093453999997,Hyperscaler
2021-02-28,Alphabet,1218.5430066229267,Hyperscaler
2021-02-28,Meta,649.4582086739009,AI Platform
2021-02-28,TSMC,634.3147432353403,AI Infra
2021-02-28,NVIDIA,333.0840333943051,AI Infra
2021-02-28,Broadcom,202.76341877857877,AI Infra
2021-02-28,Oracle,180.16520574000003,Cloud
2021-02-28,AMD,137.7859491,AI Infra
2021-02-28,IBM,102.18805692557613,Cloud
2021-03-31,Microsoft,1696.2366609,Hyperscaler
2021-03-31,Amazon,1660.7319696,Hyperscaler
2021-03-31,Alphabet,1243.003142622684,Hyperscaler
2021-03-31,Meta,742.5080591597082,AI Platform
2021-03-31,TSMC,597.5061175271187,AI Infra
2021-03-31,NVIDIA,324.2801573882981,AI Infra
2021-03-31,Broadcom,201.6501676905732,AI Infra
2021-03-31,Oracle,195.97557483000003,Cloud
2021-03-31,AMD,127.987185,AI Infra
2021-03-31,IBM,114.50225852942475,Cloud
2021-04-30,Amazon,1861.1203479,Hyperscaler
2021-04-30,Microsoft,1814.24477286,Hyperscaler
2021-04-30,Alphabet,1418.3733659602124,Hyperscaler
2021-04-30,Meta,819.5243943626725,AI Platform
2021-04-30,TSMC,589.6693085310468,AI Infra
2021-04-30,NVIDIA,364.63774828309147,AI Infra
2021-04-30,Oracle,212.58292907700002,Cloud
2021-04-30,Broadcom,198.40666228467626,AI Infra
2021-04-30,AMD,133.0740642,AI Infra
2021-04-30,IBM,121.90068768491751,Cloud
2021-05-31,Microsoft,1800.38112165,Hyperscaler
2021-05-31,Amazon,1729.9720746,Hyperscaler
2021-05-31,Alphabet,1420.3814681243862,Hyperscaler
2021-05-31,Meta,828.7260186995243,AI Platform
2021-05-31,TSMC,592.8486360721402,AI Infra
2021-05-31,NVIDIA,394.6137774274385,AI Infra
2021-05-31,Oracle,220.86088309500002,Cloud
2021-05-31,Broadcom,205.41616146912008,AI Infra
2021-05-31,AMD,130.5632328,AI Infra
2021-05-31,IBM,124.88436246247063,Cloud
2021-06-30,Microsoft,1953.4159303200001,Hyperscaler
2021-06-30,Amazon,1846.4886792,Hyperscaler
2021-06-30,Alphabet,1471.588073310822,Hyperscaler
2021-06-30,Meta,876.5744652511531,AI Platform
2021-06-30,TSMC,608.8230713520221,AI Infra
2021-06-30,NVIDIA,486.0465095982319,AI Infra
2021-06-30,Oracle,218.33599503000002,Cloud
2021-06-30,Broadcom,209.00483160758435,AI Infra
2021-06-30,AMD,153.1444113,AI Infra
2021-06-30,IBM,127.36514969919556,Cloud
2021-07-31,Microsoft,2054.43420084,Hyperscaler
2021-07-31,Amazon,1786.072662,Hyperscaler
2021-07-31,Alphabet,1623.9135097643061,Hyperscaler
2021-07-31,Meta,898.2297948548672,AI Platform
2021-07-31,TSMC,590.9503752564138,AI Infra
2021-07-31,NVIDIA,473.8413573808333,AI Infra
2021-07-31,Oracle,245.32513717500004,Cloud
2021-07-31,Broadcom,212.7570756921141,AI Infra
2021-07-31,AMD,173.1332379,AI Infra
2021-07-31,IBM,122.46713721975372,Cloud
2021-08-31,Microsoft,2181.01148982,Hyperscaler
2021-08-31,Amazon,1862.934546,Hyperscaler
2021-08-31,Alphabet,1744.085117589029,Hyperscaler
2021-08-31,Meta,956.4143125793979,AI Platform
2021-08-31,TSMC,602.9830667659354,AI Infra
2021-08-31,NVIDIA,544.0313301068227,AI Infra
2021-08-31,Oracle,250.92443931300005,Cloud
2021-08-31,Broadcom,217.93312429848407,AI Infra
2021-08-31,AMD,180.5189952,AI Infra
2021-08-31,IBM,123.33363675571603,Cloud
2021-09-30,Microsoft,2036.82060648,Hyperscaler
2021-09-30,Amazon,1763.2287948,Hyperscaler
2021-09-30,Alphabet,1611.2358527278345,Hyperscaler
